,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
25,12129.8,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,achievible,abuse,,,,,,,,,,,
26,12591.6,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,acumen,abused,,,,,,,,,,,
27,13053.4,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,adaptable,abuses,,,,,,,,,,,
28,13515.2,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,adaptive,abusive,,,,,,,,,,,
29,13977,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,adequate,abysmal,,,,,,,,,,,
30,14438.8,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,adjustable,abysmally,,,,,,,,,,,
31,14900.6,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,admirable,abyss,,,,,,,,,,,
32,15362.4,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,admirably,accidental,,,,,,,,,,,
33,15824.2,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,admiration,accost,,,,,,,,,,,
34,16286,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,admire,accursed,,,,,,,,,,,
35,16747.8,https://insights.blackcoffer.com/evolution-of-advertising-industry/,admirer,accusation,,,,,,,,,,,
36,17209.6,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,admiring,accusations,,,,,,,,,,,
37,17671.4,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,admiringly,accuse,,,,,,,,,,,
38,18133.2,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,adorable,accuses,,,,,,,,,,,
39,18595,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,adore,accusing,,,,,,,,,,,
40,19056.8,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,adored,accusingly,,,,,,,,,,,
41,19518.6,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,adorer,acerbate,,,,,,,,,,,
42,19980.4,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,adoring,acerbic,,,,,,,,,,,
43,20442.2,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,adoringly,acerbically,,,,,,,,,,,
44,20904,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,adroit,ache,,,,,,,,,,,
45,21365.8,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,adroitly,ached,,,,,,,,,,,
46,21827.6,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,adulate,aches,,,,,,,,,,,
47,22289.4,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,adulation,achey,,,,,,,,,,,
48,22751.2,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,adulatory,aching,,,,,,,,,,,
49,23213,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,advanced,acrid,,,,,,,,,,,
50,23674.8,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,advantage,acridly,,,,,,,,,,,
51,24136.6,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,advantageous,acridness,,,,,,,,,,,
52,24598.4,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,advantageously,acrimonious,,,,,,,,,,,
53,25060.2,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,advantages,acrimoniously,,,,,,,,,,,
54,25522,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,adventuresome,acrimony,,,,,,,,,,,
55,25983.8,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,adventurous,adamant,,,,,,,,,,,
56,26445.6,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,advocate,adamantly,,,,,,,,,,,
57,26907.4,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,advocated,addict,,,,,,,,,,,
58,27369.2,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,advocates,addicted,,,,,,,,,,,
59,27831,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,affability,addicting,,,,,,,,,,,
60,28292.8,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,affable,addicts,,,,,,,,,,,
61,28754.6,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,affably,admonish,,,,,,,,,,,
62,29216.4,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,affectation,admonisher,,,,,,,,,,,
63,29678.2,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,affection,admonishingly,,,,,,,,,,,
64,30140,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,affectionate,admonishment,,,,,,,,,,,
65,30601.8,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,affinity,admonition,,,,,,,,,,,
66,31063.6,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,affirm,adulterate,,,,,,,,,,,
67,31525.4,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,affirmation,adulterated,,,,,,,,,,,
68,31987.2,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,affirmative,adulteration,,,,,,,,,,,
69,32449,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,affluence,adulterier,,,,,,,,,,,
70,32910.8,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,affluent,adversarial,,,,,,,,,,,
71,33372.6,https://insights.blackcoffer.com/human-rights-outlook/,afford,adversary,,,,,,,,,,,
72,33834.4,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,affordable,adverse,,,,,,,,,,,
73,34296.2,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,affordably,adversity,,,,,,,,,,,
74,34758,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,afordable,afflict,,,,,,,,,,,
75,35219.8,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,agile,affliction,,,,,,,,,,,
76,35681.6,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,agilely,afflictive,,,,,,,,,,,
77,36143.4,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,agility,affront,,,,,,,,,,,
78,36605.2,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,agreeable,afraid,,,,,,,,,,,
79,37067,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,agreeableness,aggravate,,,,,,,,,,,
80,37528.8,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,agreeably,aggravating,,,,,,,,,,,
81,37990.6,https://insights.blackcoffer.com/travel-and-tourism-outlook/,all-around,aggravation,,,,,,,,,,,
82,38452.4,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,alluring,aggression,,,,,,,,,,,
83,38914.2,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,alluringly,aggressive,,,,,,,,,,,
84,39376,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,altruistic,aggressiveness,,,,,,,,,,,
85,39837.8,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,altruistically,aggressor,,,,,,,,,,,
86,40299.6,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,amaze,aggrieve,,,,,,,,,,,
87,40761.4,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,amazed,aggrieved,,,,,,,,,,,
88,41223.2,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,amazement,aggrivation,,,,,,,,,,,
89,41685,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,amazes,aghast,,,,,,,,,,,
90,42146.8,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,amazing,agonies,,,,,,,,,,,
91,42608.6,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,amazingly,agonize,,,,,,,,,,,
92,43070.4,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,ambitious,agonizing,,,,,,,,,,,
93,43532.2,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,ambitiously,agonizingly,,,,,,,,,,,
94,43994,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,ameliorate,agony,,,,,,,,,,,
95,44455.8,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,amenable,aground,,,,,,,,,,,
96,44917.6,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,amenity,ail,,,,,,,,,,,
97,45379.4,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,amiability,ailing,,,,,,,,,,,
98,45841.2,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,amiabily,ailment,,,,,,,,,,,
99,46303,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,amiable,aimless,,,,,,,,,,,
100,46764.8,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,amicability,alarm,,,,,,,,,,,
101,47226.6,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,amicable,alarmed,,,,,,,,,,,
102,47688.4,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,amicably,alarming,,,,,,,,,,,
103,48150.2,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,amity,alarmingly,,,,,,,,,,,
104,48612,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,ample,alienate,,,,,,,,,,,
105,49073.8,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,amply,alienated,,,,,,,,,,,
106,49535.6,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,amuse,alienation,,,,,,,,,,,
108,50459.2,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,amusing,allegation,,,,,,,,,,,
109,50921,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,amusingly,allegations,,,,,,,,,,,
110,51382.8,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,angel,allege,,,,,,,,,,,
111,51844.6,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,angelic,allergic,,,,,,,,,,,
112,52306.4,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,apotheosis,allergies,,,,,,,,,,,
113,52768.2,https://insights.blackcoffer.com/continued-demand-for-sustainability/,appeal,allergy,,,,,,,,,,,
